action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,15769507,[],CHEMBL3635350,Inhibition of His-tagged human MALT1 (catalytic domain-339-719 aa) by fluorescence based assay using 25 uM Ac-LRSR-AMC as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)CCC2=C(O1)c1ccc([N+](=O)[O-])cc1C(=O)C2=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '22.27', 'le': '0.42', 'lle': '3.74', 'sei': '7.40'}",CHEMBL3632807,,CHEMBL3632807,6.40,0,http://www.openphacts.org/units/Nanomolar,2509329,=,1,1,=,,IC50,nM,,400.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,0.4
,,15769508,[],CHEMBL3635350,Inhibition of His-tagged human MALT1 (catalytic domain-339-719 aa) by fluorescence based assay using 25 uM Ac-LRSR-AMC as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)CCC2=C(O1)c1ccc(C#N)cc1C(=O)C2=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '21.68', 'le': '0.40', 'lle': '3.18', 'sei': '8.63'}",CHEMBL3632806,,CHEMBL3632806,5.80,0,http://www.openphacts.org/units/Nanomolar,2509328,=,1,1,=,,IC50,nM,,1600.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,1.6
,,15769509,[],CHEMBL3635350,Inhibition of His-tagged human MALT1 (catalytic domain-339-719 aa) by fluorescence based assay using 25 uM Ac-LRSR-AMC as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)CCC2=C(O1)c1ccc(Br)cc1C(=O)C2=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '15.68', 'le': '0.36', 'lle': '1.53', 'sei': '11.61'}",CHEMBL3632805,,CHEMBL3632805,5.04,0,http://www.openphacts.org/units/Nanomolar,2509327,=,1,1,=,,IC50,nM,,9200.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,9.2
,,15769510,[],CHEMBL3635350,Inhibition of His-tagged human MALT1 (catalytic domain-339-719 aa) by fluorescence based assay using 25 uM Ac-LRSR-AMC as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)CCC2=C(O1)c1ccc(F)cc1C(=O)C2=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '22.38', 'le': '0.42', 'lle': '2.93', 'sei': '13.43'}",CHEMBL3632804,,CHEMBL3632804,5.82,0,http://www.openphacts.org/units/Nanomolar,2509326,=,1,1,=,,IC50,nM,,1500.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,1.5
,,15769511,[],CHEMBL3635350,Inhibition of His-tagged human MALT1 (catalytic domain-339-719 aa) by fluorescence based assay using 25 uM Ac-LRSR-AMC as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,COCCOc1nc(-c2ccc(Cl)c(Cl)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '12.03', 'le': '0.26', 'lle': '1.04', 'sei': '7.00'}",CHEMBL3183233,,CHEMBL3183233,5.48,0,http://www.openphacts.org/units/Nanomolar,2509325,=,1,1,=,,IC50,nM,,3300.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,3.3
,,15769512,[],CHEMBL3635350,Inhibition of His-tagged human MALT1 (catalytic domain-339-719 aa) by fluorescence based assay using 25 uM Ac-LRSR-AMC as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '24.44', 'le': '0.45', 'lle': '3.17', 'sei': '13.65'}",CHEMBL15192,LAPACHONE,CHEMBL15192,5.92,0,http://www.openphacts.org/units/Nanomolar,2509321,=,1,1,=,,IC50,nM,,1200.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,1.2
,,15769526,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(cc1OC)C(=O)C1=C(CCC(C)(C)O1)C2=O,,,CHEMBL3632578,J Med Chem,2015,,CHEMBL3632803,,CHEMBL3632803,,0,http://www.openphacts.org/units/Nanomolar,2509324,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,10.0
,,15769527,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)=CCC1=C(O)C(=O)c2cc(Br)ccc2C1=O,,,CHEMBL3632578,J Med Chem,2015,,CHEMBL3632802,,CHEMBL3632802,,0,http://www.openphacts.org/units/Nanomolar,2509323,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,10.0
,,15769528,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)=CCC1=C(O)C(=O)c2cc(F)ccc2C1=O,,,CHEMBL3632578,J Med Chem,2015,,CHEMBL3632801,,CHEMBL3632801,,0,http://www.openphacts.org/units/Nanomolar,2509322,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,10.0
,,15769529,[],CHEMBL3635348,Inhibition of MALT1 in human Jurkat cell lysate preincubated for 2 hrs followed by addition of 25 uM Ac-LRSR-AMC substrate for 3 hrs by fluorescence based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,,,CHEMBL3632578,J Med Chem,2015,"{'bei': '23.62', 'le': '0.43', 'lle': '2.97', 'sei': '13.19'}",CHEMBL15192,LAPACHONE,CHEMBL15192,5.72,0,http://www.openphacts.org/units/Nanomolar,2509321,=,1,1,=,,IC50,nM,,1900.0,CHEMBL3632452,Homo sapiens,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,9606,,,IC50,uM,UO_0000065,,1.9
