,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL3632807,CC1(C)CCC2=C(O1)c1ccc([N+](=O)[O-])cc1C(=O)C2=O,active,287.2710000000001,2.660300000000001,0.0,5.0,6.3979400086720375
1,CHEMBL3632806,CC1(C)CCC2=C(O1)c1ccc(C#N)cc1C(=O)C2=O,intermediate,267.284,2.623780000000001,0.0,4.0,5.795880017344075
2,CHEMBL3632805,CC1(C)CCC2=C(O1)c1ccc(Br)cc1C(=O)C2=O,intermediate,321.17000000000013,3.5146000000000024,0.0,3.0,5.036212172654444
3,CHEMBL3632804,CC1(C)CCC2=C(O1)c1ccc(F)cc1C(=O)C2=O,intermediate,260.264,2.8912000000000013,0.0,3.0,5.823908740944319
4,CHEMBL3183233,COCCOc1nc(-c2ccc(Cl)c(Cl)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,intermediate,455.7290000000002,4.4436000000000035,1.0,6.0,5.481486060122113
5,CHEMBL15192,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,intermediate,242.274,2.7521000000000013,0.0,3.0,5.920818753952375
6,CHEMBL3632803,COc1cc2c(cc1OC)C(=O)C1=C(CCC(C)(C)O1)C2=O,inactive,302.32599999999996,2.9259000000000013,0.0,5.0,5.0
7,CHEMBL3632802,CC(C)=CCC1=C(O)C(=O)c2cc(Br)ccc2C1=O,inactive,321.1700000000001,3.996500000000003,1.0,3.0,5.0
8,CHEMBL3632801,CC(C)=CCC1=C(O)C(=O)c2cc(F)ccc2C1=O,inactive,260.264,3.3731000000000018,1.0,3.0,5.0
9,CHEMBL3632800,O=C(CNC1=CC(=O)C(=O)c2ccccc21)NCCc1ccccc1,intermediate,334.37500000000006,1.7413999999999998,2.0,4.0,5.508638306165727
10,CHEMBL3632799,O=C1C=C(NCC(=O)N2CCCC2)c2ccccc2C1=O,intermediate,284.31500000000005,1.0048999999999992,1.0,4.0,5.3872161432802645
11,CHEMBL3635003,CNC(=O)CNC1=CC(=O)C(=O)c2ccccc21,intermediate,244.25,0.12849999999999945,2.0,4.0,5.522878745280337
12,CHEMBL3635002,O=C1C=C(NC2CCN(Cc3ccccc3)CC2)c2ccccc2C1=O,intermediate,346.43000000000006,3.0471000000000013,1.0,4.0,5.267606240177032
13,CHEMBL3635001,O=C1C=C(NC2CCN(Cc3ccccc3)C2)c2ccccc2C1=O,intermediate,332.4030000000001,2.657000000000001,1.0,4.0,5.823908740944319
14,CHEMBL1966084,O=C1C=C(NCCc2ccccc2)c2ccccc2C1=O,inactive,277.3230000000001,2.6252000000000013,1.0,3.0,4.0
15,CHEMBL3635000,CC(C)(C)OC(=O)NCCNC1=CC(=O)C(=O)c2ccccc21,inactive,316.35699999999997,1.9071999999999996,2.0,5.0,4.826813731587726
16,CHEMBL3634999,O=C1C=C(NCCCN2CCCC2=O)c2ccccc2C1=O,inactive,298.34200000000004,1.3949999999999994,1.0,4.0,4.841637507904751
17,CHEMBL3634998,O=C1C=C(NCCCN2CCCC2)c2ccccc2C1=O,inactive,284.35900000000004,1.8683999999999998,1.0,4.0,4.924453038607469
18,CHEMBL3634997,O=C1C=C(NCCN2CCOCC2)c2ccccc2C1=O,inactive,286.3310000000001,0.7146999999999999,1.0,5.0,4.6595558851598815
19,CHEMBL3634996,COCCNC1=CC(=O)C(=O)c2ccccc21,intermediate,231.25099999999998,1.0289,1.0,4.0,5.107905397309519
20,CHEMBL3634995,CN(C)CCNC1=CC(=O)C(=O)c2ccccc21,intermediate,244.29399999999998,0.9440999999999999,1.0,4.0,5.795880017344075
21,CHEMBL3634994,CC(C)NC1=CC(=O)C(=O)c2ccccc21,inactive,215.25199999999998,1.7909,1.0,3.0,4.690369832574101
22,CHEMBL3634993,CN(C)C1=CC(=O)C(=O)c2ccccc21,intermediate,201.225,1.3545,0.0,3.0,5.6020599913279625
23,CHEMBL2036880,COc1ccc2c(c1)C(=O)C(=O)C1=C2OC(C)(C)CC1,active,272.3,2.760700000000001,0.0,4.0,6.221848749616356
24,CHEMBL177685,COc1cc2c(cc1OC)C1=C(CCC(C)(C)O1)C(=O)C2=O,intermediate,302.326,2.769300000000001,0.0,5.0,5.638272163982407
25,CHEMBL3632808,COc1ccc2c(c1)C1=C(CCC(C)(C)O1)C(=O)C2=O,intermediate,272.29999999999995,2.760700000000001,0.0,4.0,5.036212172654444
26,CHEMBL3632809,CC1(C)CCC2=C(O1)c1cc(O)ccc1C(=O)C2=O,intermediate,258.273,2.457700000000001,1.0,4.0,5.031517051446065
27,CHEMBL3806155,CO[C@@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(C(F)(F)F)c2)cnc2cc(Cl)nn12,active,481.82600000000014,3.728600000000001,2.0,9.0,10.638272163982407
28,CHEMBL3806279,CO[C@@H](C)c1c(NC(=O)Nc2cncc(C(F)(F)F)c2)cnc2cc(C)nn12,active,394.3570000000001,3.802920000000001,2.0,6.0,10.2839966563652
29,CHEMBL3805576,CC(C)c1c(NC(=O)Nc2cnc(N3CCCS3(=O)=O)c(C(F)(F)F)c2)cnc2cc(Cl)nn12,active,517.921,4.103800000000002,2.0,7.0,9.605548319173783
30,CHEMBL3806235,O=C(Nc1cnc(-n2nccn2)c(C(F)(F)F)c1)Nc1cnc2cc(Cl)nn2c1C1CCCO1,active,493.8370000000003,3.872700000000002,2.0,9.0,10.0268721464003
31,CHEMBL3805390,COCC(c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12)C1CC1,active,488.3390000000003,3.7958000000000016,2.0,9.0,10.55284196865778
32,CHEMBL3806299,CC(C)c1c(NC(=O)Nc2ccc(-n3cc(CN)cn3)c(Cl)c2)cnc2cc(Cl)nn12,active,459.3410000000001,4.4479000000000015,3.0,7.0,9.872895201635192
33,CHEMBL3814162,COCCOc1nc(-c2ccc(F)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,inactive,404.8290000000001,3.275900000000002,1.0,6.0,5.0
34,CHEMBL3814576,COCCOc1nc(-c2ccc(Cl)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,intermediate,421.28400000000016,3.7902000000000013,1.0,6.0,5.522878745280337
35,CHEMBL3814060,C=CC(=O)Nc1ccc(-n2nc(OCCOC)nc2-c2ccc(Cl)c(Cl)c2)cc1,inactive,433.2950000000001,4.390800000000003,1.0,6.0,4.468521082957745
36,CHEMBL3815024,COCCOc1nc(-c2ccc3c(c2)OCO3)n(-c2ccc(NC(=O)CCl)cc2)n1,inactive,430.8480000000001,2.865500000000001,1.0,8.0,4.055517327849831
37,CHEMBL3814599,COCCOc1nc(-c2ccc(C)c(C)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,inactive,414.8930000000001,3.7536400000000025,1.0,6.0,4.823908740944319
38,CHEMBL3814883,COCCOc1nc(-c2ccc(OC)c(OC)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,inactive,446.89100000000013,3.1540000000000017,1.0,8.0,4.920818753952375
39,CHEMBL3813977,COCCOc1nc(-c2ccc(F)c(F)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,inactive,422.81900000000013,3.415000000000002,1.0,6.0,4.585026652029182
40,CHEMBL3814955,COCCOc1nc(-c2ccc(-c3ccccc3)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,inactive,462.9370000000002,4.803800000000004,1.0,6.0,4.657577319177793
41,CHEMBL3814081,COCCOc1nc(-c2cccc(C)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,inactive,400.86600000000016,3.4452200000000017,1.0,6.0,3.555955204081924
42,CHEMBL3813798,COCCOc1nc(-c2ccc(C)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,intermediate,400.86600000000016,3.4452200000000017,1.0,6.0,5.045757490560675
