molecule_chembl_id,canonical_smiles,standard_value
CHEMBL3632807,CC1(C)CCC2=C(O1)c1ccc([N+](=O)[O-])cc1C(=O)C2=O,400.0
CHEMBL3632806,CC1(C)CCC2=C(O1)c1ccc(C#N)cc1C(=O)C2=O,1600.0
CHEMBL3632805,CC1(C)CCC2=C(O1)c1ccc(Br)cc1C(=O)C2=O,9200.0
CHEMBL3632804,CC1(C)CCC2=C(O1)c1ccc(F)cc1C(=O)C2=O,1500.0
CHEMBL3183233,COCCOc1nc(-c2ccc(Cl)c(Cl)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,3300.0
CHEMBL15192,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,1200.0
CHEMBL3632803,COc1cc2c(cc1OC)C(=O)C1=C(CCC(C)(C)O1)C2=O,10000.0
CHEMBL3632802,CC(C)=CCC1=C(O)C(=O)c2cc(Br)ccc2C1=O,10000.0
CHEMBL3632801,CC(C)=CCC1=C(O)C(=O)c2cc(F)ccc2C1=O,10000.0
CHEMBL3632800,O=C(CNC1=CC(=O)C(=O)c2ccccc21)NCCc1ccccc1,3100.0
CHEMBL3632799,O=C1C=C(NCC(=O)N2CCCC2)c2ccccc2C1=O,4100.0
CHEMBL3635003,CNC(=O)CNC1=CC(=O)C(=O)c2ccccc21,3000.0
CHEMBL3635002,O=C1C=C(NC2CCN(Cc3ccccc3)CC2)c2ccccc2C1=O,5400.0
CHEMBL3635001,O=C1C=C(NC2CCN(Cc3ccccc3)C2)c2ccccc2C1=O,1500.0
CHEMBL1966084,O=C1C=C(NCCc2ccccc2)c2ccccc2C1=O,100000.0
CHEMBL3635000,CC(C)(C)OC(=O)NCCNC1=CC(=O)C(=O)c2ccccc21,14900.0
CHEMBL3634999,O=C1C=C(NCCCN2CCCC2=O)c2ccccc2C1=O,14400.0
CHEMBL3634998,O=C1C=C(NCCCN2CCCC2)c2ccccc2C1=O,11900.0
CHEMBL3634997,O=C1C=C(NCCN2CCOCC2)c2ccccc2C1=O,21900.0
CHEMBL3634996,COCCNC1=CC(=O)C(=O)c2ccccc21,7800.0
CHEMBL3634995,CN(C)CCNC1=CC(=O)C(=O)c2ccccc21,1600.0
CHEMBL3634994,CC(C)NC1=CC(=O)C(=O)c2ccccc21,20400.0
CHEMBL3634993,CN(C)C1=CC(=O)C(=O)c2ccccc21,2500.0
CHEMBL2036880,COc1ccc2c(c1)C(=O)C(=O)C1=C2OC(C)(C)CC1,600.0
CHEMBL177685,COc1cc2c(cc1OC)C1=C(CCC(C)(C)O1)C(=O)C2=O,2300.0
CHEMBL3632808,COc1ccc2c(c1)C1=C(CCC(C)(C)O1)C(=O)C2=O,9200.0
CHEMBL3632809,CC1(C)CCC2=C(O1)c1cc(O)ccc1C(=O)C2=O,9300.0
CHEMBL3806155,CO[C@@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(C(F)(F)F)c2)cnc2cc(Cl)nn12,0.023
CHEMBL3806279,CO[C@@H](C)c1c(NC(=O)Nc2cncc(C(F)(F)F)c2)cnc2cc(C)nn12,0.052
CHEMBL3805576,CC(C)c1c(NC(=O)Nc2cnc(N3CCCS3(=O)=O)c(C(F)(F)F)c2)cnc2cc(Cl)nn12,0.248
CHEMBL3806235,O=C(Nc1cnc(-n2nccn2)c(C(F)(F)F)c1)Nc1cnc2cc(Cl)nn2c1C1CCCO1,0.094
CHEMBL3805390,COCC(c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12)C1CC1,0.028
CHEMBL3806299,CC(C)c1c(NC(=O)Nc2ccc(-n3cc(CN)cn3)c(Cl)c2)cnc2cc(Cl)nn12,0.134
CHEMBL3814162,COCCOc1nc(-c2ccc(F)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,10000.0
CHEMBL3814576,COCCOc1nc(-c2ccc(Cl)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,3000.0
CHEMBL3814060,C=CC(=O)Nc1ccc(-n2nc(OCCOC)nc2-c2ccc(Cl)c(Cl)c2)cc1,34000.0
CHEMBL3815024,COCCOc1nc(-c2ccc3c(c2)OCO3)n(-c2ccc(NC(=O)CCl)cc2)n1,88000.0
CHEMBL3814599,COCCOc1nc(-c2ccc(C)c(C)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,15000.0
CHEMBL3814883,COCCOc1nc(-c2ccc(OC)c(OC)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,12000.0
CHEMBL3813977,COCCOc1nc(-c2ccc(F)c(F)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,26000.0
CHEMBL3814955,COCCOc1nc(-c2ccc(-c3ccccc3)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,22000.0
CHEMBL3814081,COCCOc1nc(-c2cccc(C)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,278000.0
CHEMBL3813798,COCCOc1nc(-c2ccc(C)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,9000.0
CHEMBL3814547,COCCOc1nc(-c2cccc(C(F)(F)F)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,93000.0
CHEMBL3814394,COCCOc1nc(-c2ccc(C(F)(F)F)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,22000.0
CHEMBL3814540,COCCOc1nc(-c2cccc(OC)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,194000.0
CHEMBL3814068,COCCOc1nc(-c2ccc(OC)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,45000.0
CHEMBL3813708,COCCOc1nc(-c2cccc(Br)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,17000.0
CHEMBL3813831,COCCOc1nc(-c2ccc(Br)cc2)n(-c2ccc(NC(=O)CCl)cc2)n1,1500.0
CHEMBL3814299,COCCOc1nc(-c2cccc(F)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,88000.0
CHEMBL3813764,COCCOc1nc(-c2cccc(Cl)c2)n(-c2ccc(NC(=O)CCl)cc2)n1,26000.0
CHEMBL3814679,COCCOc1nc(-c2ccccc2)n(-c2ccc(NC(=O)CCl)cc2)n1,98000.0
CHEMBL395110,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,420.0
CHEMBL4128008,Cc1ccc(NC(=O)C2CCN(c3ncccc3Cl)CC2)cc1Cl,54.0
CHEMBL4125938,Cc1nc(C)n(-c2ccc(NC(=O)C3CCN(c4ncccc4[N+](=O)[O-])CC3)cc2Cl)n1,184.0
CHEMBL1520947,O=C(Nc1ccc(F)c(Cl)c1)C1CCN(c2ncccn2)CC1,1620.0
CHEMBL4127958,O=C(Nc1ccc(F)c(Cl)c1)C1CCN(c2ccccc2)CC1,820.0
CHEMBL4129003,O=C(Nc1ccc(F)c(Cl)c1)C1CCN(c2ccccn2)CC1,1900.0
CHEMBL4129874,O=C(Nc1ccc(F)c(Cl)c1)C1CCN(Cc2ccc(F)cc2)CC1,100000.0
CHEMBL4126262,CC(C)CN1CCC(C(=O)Nc2ccc(F)c(Cl)c2)CC1,100000.0
CHEMBL4130062,N#Cc1ccnc(N2CCC(C(=O)Nc3ccc(F)c(Cl)c3)CC2)c1,9000.0
CHEMBL4128693,N#Cc1cccnc1N1CCC(C(=O)Nc2ccc(F)c(Cl)c2)CC1,420.0
CHEMBL4128618,O=C(Nc1ccc(F)c(Cl)c1)C1CCN(c2ncccc2Cl)CC1,28.0
CHEMBL4129988,Nc1cccnc1N1CCC(C(=O)Nc2ccc(F)c(Cl)c2)CC1,100.0
CHEMBL4127369,O=C(Nc1ccc(F)c(Cl)c1)C1CCN(c2nccnc2Cl)CC1,100.0
CHEMBL4126562,O=C(NC1CCCCC1)C1CCN(c2ncccc2Cl)CC1,100000.0
CHEMBL4126140,O=C(Nc1ccccc1)C1CCN(c2ncccc2Cl)CC1,4700.0
CHEMBL4127519,O=C(Nc1cccc(Cl)c1)C1CCN(c2ncccc2Cl)CC1,210.0
CHEMBL4127375,COc1ncc(NC(=O)C2CCN(c3ncccc3Cl)CC2)cc1Cl,13.0
CHEMBL4128769,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)C1CCN(c2ncccc2Cl)CC1,4.0
CHEMBL4128888,Nc1cccnc1N1CCC(C(=O)Nc2cnc(-n3nccn3)c(Cl)c2)CC1,7.0
CHEMBL4130251,Nc1cccnc1N1CCC(C(=O)Nc2ccc(-n3nccn3)c(Cl)c2)CC1,35.0
CHEMBL4129385,CNC(=O)c1ncn(-c2ccc(NC(=O)C3CCN(c4ncccc4Cl)CC3)cc2Cl)n1,21.0
CHEMBL4129254,Cc1cn(-c2cc(NC(=O)C3CCN(c4ncccc4Cl)CC3)cc(C(F)(F)F)c2)cn1,340.0
CHEMBL4567817,COc1ccc(NC(=O)C2CCN(c3nccc4sccc34)CC2)cc1Cl,690.0
CHEMBL4525868,COc1ccc(N(C)C(=O)C2CCN(c3nccc4sccc34)CC2)cc1Cl,30000.0
CHEMBL4530029,COc1ccc(NC(=O)C2CCN(c3nccc4ccsc34)CC2)cc1Cl,1300.0
CHEMBL4585807,COc1ccc(NC(=O)C2CCN(c3nccc4sc(C)cc34)CC2)cc1Cl,17800.0
CHEMBL4551510,COc1ccc(NC(=O)C2CCN(c3nccc4scnc34)CC2)cc1Cl,12900.0
CHEMBL4437395,COc1ccc(NC(=O)C2CCN(c3nccn4ccnc34)CC2)cc1Cl,20400.0
CHEMBL4536750,COc1ccc(NC(=O)C2CCN(c3nccn4cccc34)CC2)cc1Cl,1100.0
CHEMBL4439847,COc1ccc(NC(=O)C2CCN(c3ccc4ccccc4n3)CC2)cc1Cl,30000.0
CHEMBL4526427,COc1ccc(NC(=O)C2CCN(c3nccc4ccccc34)CC2)cc1Cl,2300.0
CHEMBL4469819,COc1ccc(NC(=O)C2CCN(c3ncnc4ccccc34)CC2)cc1Cl,4000.0
CHEMBL4446759,COc1ccc(NC(=O)C2CCN(c3ncccc3C)CC2)cc1Cl,100.0
CHEMBL4546577,COc1ccc(NC(=O)C2CCN(c3ncccc3Cl)CC2)cc1Cl,100.0
CHEMBL4534539,COc1ccc(NC(=O)C2CCN(c3ncccc3Br)CC2)cc1Cl,50.0
CHEMBL4457755,COc1ccc(NC(=O)C2CCN(c3ncccc3SC)CC2)cc1Cl,980.0
CHEMBL4525068,COc1ccc(NC(=O)C2CCN(c3ncccc3OC)CC2)cc1Cl,350.0
CHEMBL4594202,COc1ccc(NC(=O)C2CCN(c3ncccc3C(F)(F)F)CC2)cc1Cl,410.0
CHEMBL4562750,CCc1cccnc1N1CCC(C(=O)Nc2ccc(OC)c(Cl)c2)CC1,830.0
CHEMBL4475053,COc1ccc(NC(=O)C2CCN(c3ncccc3S(C)(=O)=O)CC2)cc1Cl,6030.0
CHEMBL4459148,COc1ccc(NC(=O)C2CCN(c3ccccn3)CC2)cc1Cl,3390.0
CHEMBL4442542,COc1ccc(NC(=O)C2CCN(c3nc(C)ccc3Cl)CC2)cc1Cl,550.0
CHEMBL4434699,COc1ccc(NC(=O)C2CCN(c3nccc(C)c3C)CC2)cc1Cl,17800.0
CHEMBL4566269,COc1ccc(NC(=O)C2CCN(c3ncccc3Oc3cccnc3)CC2)cc1Cl,4270.0
CHEMBL4514407,COc1ccc(NC(=O)C2CCN(c3ncccc3-c3cnn(C)c3)CC2)cc1Cl,13500.0
CHEMBL4541376,COc1ccc(NC(=O)C2CCN(c3ccccc3Cl)CC2)cc1Cl,230.0
CHEMBL4551225,COc1ccc(NC(=O)C2CCN(c3ncccc3C)C(C)C2)cc1Cl,50.0
CHEMBL4556101,COc1ccc(NC(=O)C2CCN(c3ncccc3Br)C(C)C2)cc1Cl,50.0
